player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Jamison Crowder,9538,WR,1,WAS,0,0,6,0,0,0,60.1,,,,61.7,,0,0,0,0,0,2016,6
Justin Hardy,9540,WR,1,ATL,6,5,5,1,0,0,34.5,,,,,,0,0,0,0,0,2016,6
Jalston Fowler,9541,FB,1,TEN,4,4,7,5,0,0,67.2,,,,,,0,0,0,0,0,2016,6
Clayton Geathers,9542,S,1,IND,1,0,0,5,2,0,58.1,,,,,,0,0,0,0,0,2016,6
Gabe Wright,9546,DI,1,CLV,0,0,1,0,0,0,60.0,,,,,,0,0,0,0,0,2016,6
Ibraheim Campbell,9548,S,1,CLV,5,3,1,8,2,0,58.9,,,,,,0,0,0,0,0,2016,6
Rodney Gunter,9549,DI,1,ARZ,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2016,6
Andrew Donnal,9552,T,1,LA,0,0,0,0,0,4,60.2,,,,,,0,0,0,0,0,2016,6
Josh Shaw,9553,CB,1,CIN,0,5,0,4,6,0,61.4,,,,,,0,0,1,0,0,2016,6
Za'Darius Smith,9555,ED,1,BLT,6,0,0,0,5,0,57.6,,,,,,0,0,0,0,0,2016,6
Javorius Allen,9558,HB,1,BLT,5,6,0,0,0,0,60.6,,,,,,0,0,0,0,0,2016,6
Mike Davis,9559,HB,1,SF,7,5,4,0,0,0,58.2,,,,,,0,0,0,0,0,2016,6
Damien Wilson,9560,LB,1,DAL,5,7,1,2,3,0,61.0,,,,,,0,0,0,0,0,2016,6
Jon Feliciano,9561,G,1,OAK,6,0,0,0,0,3,85.3,,,,,,0,0,0,0,0,2016,6
Jake Ryan,9562,LB,1,GB,7,0,0,1,0,0,59.3,,,,,,0,0,0,0,0,2016,6
Max Garcia,9566,G,1,DEN,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
Mark Glowinski,9567,G,1,SEA,3,0,0,0,0,6,89.9,,,,,,0,0,0,0,0,2016,6
Grady Jarrett,9570,DI,1,ATL,0,0,0,0,6,0,59.6,,,,,,0,0,0,0,0,2016,6
Martrell Spaight,9574,LB,1,WAS,5,6,6,4,0,0,62.6,,,,,,1,0,3,0,0,2016,6
Adrian Amos,9575,S,1,CHI,0,5,0,0,3,0,60.6,,,,,,0,0,0,0,0,2016,6
Bobby McCain,9578,CB,1,MIA,0,7,4,1,1,0,50.1,,,,,,0,0,0,0,0,2016,6
David Parry,9584,DI,1,IND,0,0,1,0,5,0,60.7,,,,,,0,0,0,0,0,2016,6
Kyle Emanuel,9586,ED,1,SD,5,6,5,5,3,0,66.3,,,,,,0,0,1,0,0,2016,6
Tyeler Davison,9587,DI,1,NO,0,0,1,0,5,0,60.0,,,,,,0,0,0,0,0,2016,6
Tony Lippett,9589,CB,1,MIA,0,1,4,0,0,0,60.2,,,,,,0,0,0,0,0,2016,6
J.J. Nelson,9592,WR,1,ARZ,2,0,0,0,0,0,60.0,,59.6,,,,0,0,0,0,0,2016,6
Jesse James,9593,TE,1,PIT,0,1,0,0,0,1,60.1,,,,,,0,0,0,0,0,2016,6
Bradley Pinion,9598,P,1,SF,0,5,0,5,0,4,60.6,60.0,,50.7,,,0,0,0,0,0,2016,6
Joe Cardona,9599,LS,1,NE,0,0,0,3,0,6,64.5,,,,,,0,0,0,0,0,2016,6
Michael Burton,9601,FB,1,DET,5,6,0,0,0,0,61.0,,,,,,0,0,0,0,0,2016,6
David Mayo,9602,LB,1,CAR,8,7,4,5,0,0,67.0,,,,,,0,0,1,1,0,2016,6
D.J. Alexander,9605,LB,1,KC,2,6,3,3,3,0,58.7,,,,,,0,0,0,0,0,2016,6
James O'Shaughnessy,9606,TE,1,KC,2,6,3,3,0,0,54.3,,,,,,0,0,1,0,0,2016,6
Keith Mumphery,9608,WR,1,HST,6,3,2,0,0,0,50.5,,,,,,0,0,0,0,0,2016,6
JaCorey Shepherd,9624,CB,1,SF,0,0,3,0,0,0,60.0,,,,,,0,0,0,0,0,2016,6
Nick O'Leary,9627,TE,1,BUF,5,0,4,0,0,0,59.4,,,,,,0,0,0,0,0,2016,6
Malcolm Johnson,9628,FB,1,CLV,5,6,1,2,0,0,59.9,,,,,,0,0,0,0,0,2016,6
Derron Smith,9630,S,1,CIN,7,5,3,0,6,0,61.1,,,,,,0,0,0,0,0,2016,6
L.T. Walton,9632,DI,1,PIT,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0,2016,6
Quandre Diggs,9633,CB,1,DET,0,6,2,0,0,0,55.1,,,,,,0,0,0,0,0,2016,6
A.J. Derby,9635,TE,1,NE,5,0,3,3,0,0,71.0,,,,,,0,0,0,1,0,2016,6
Darius Kilgo,9636,DI,1,DEN,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0,2016,6
Darren Waller,9637,TE,1,BLT,6,6,4,6,0,0,63.5,,,,,,0,0,1,0,0,2016,6
Aaron Ripkowski,9639,FB,1,GB,6,5,2,1,0,0,60.3,,,,,,0,0,0,0,0,2016,6
Anthony Chickillo,9645,ED,1,PIT,7,3,2,5,0,0,45.8,,,,,,0,0,0,0,0,2016,6
Christian Covington,9649,DI,1,HST,5,0,1,0,6,5,58.5,,,,,,0,0,0,0,0,2016,6
Hayes Pullard,9652,LB,1,JAX,5,4,4,5,0,0,71.4,,,,,,0,0,1,0,0,2016,6
Deon Simon,9656,DI,1,NYJ,0,0,0,0,4,1,60.2,,,,,,0,0,0,0,0,2016,6
Bryce Hager,9657,LB,1,LA,6,5,2,2,0,0,73.1,,,,,,0,0,0,1,0,2016,6
Bobby Hart,9659,T,1,NYG,0,0,0,0,0,5,60.8,,,,,,0,0,0,0,0,2016,6
Ben Koyack,9662,TE,1,JAX,5,0,6,5,0,0,53.2,,,,,,0,0,0,0,0,2016,6
