"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","1.6","20.5","0.1","0.0","0.0","0.0","0.0","2.7"
"","low","1.1","11.0","0.1","0.0","0.0","0.0","0.0","1.9"
"Jake Kumerow","GB","1.4","17.8","0.1","0.1","0.9","0.0","0.0","2.3"
"","high","1.6","23.8","0.1","0.4","2.5","0.0","0.0","3.0"
"","low","1.0","13.7","0.0","0.0","0.0","0.0","0.0","1.9"
"Vyncint Smith","NYJ","1.1","13.8","0.1","0.3","2.3","0.1","0.0","2.3"
"","high","2.0","22.9","0.1","0.4","4.2","0.2","0.0","3.5"
"","low","0.5","6.3","0.0","0.0","0.0","0.0","0.0","1.0"
"Pharoh Cooper","ARI","1.9","17.5","0.1","0.1","0.4","0.0","0.0","2.2"
"","high","2.5","20.4","0.1","0.2","0.7","0.0","0.0","2.7"
"","low","1.3","13.0","0.0","0.0","0.0","0.0","0.1","1.9"
"Tavon Austin","DAL","1.1","10.2","0.0","1.0","6.8","0.0","0.1","2.1"
"","high","1.6","14.0","0.1","1.7","12.4","0.1","0.0","3.8"
"","low","0.3","4.0","0.0","0.4","2.4","0.0","0.1","1.1"
"Keelan Doss","OAK","1.5","17.9","0.1","0.1","0.4","0.0","0.0","2.1"
"","high","2.0","24.9","0.1","0.1","0.6","0.0","0.0","3.2"
"","low","0.9","11.0","0.0","0.0","0.3","0.0","0.0","3.2"
"Christian Blake","ATL","1.4","15.0","0.1","0.0","0.0","0.0","0.0","2.1"
"","high","1.4","15.0","0.1","0.0","0.0","0.0","0.0","1.8"
"","low","1.4","15.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Scott Miller","TB","1.3","16.4","0.1","0.1","0.7","0.0","0.0","2.1"
"","high","1.5","19.0","0.1","0.2","1.0","0.0","0.0","2.5"
"","low","1.0","12.2","0.0","0.1","0.5","0.0","0.0","1.7"
"Robert Foster","BUF","1.0","14.7","0.1","0.2","1.6","0.0","0.0","2.0"
"","high","1.6","18.5","0.1","0.6","4.0","0.0","0.0","2.2"
"","low","0.6","10.9","0.0","0.0","0.0","0.0","0.0","1.7"
"Andre Patton","LAC","1.3","16.8","0.1","0.1","1.0","0.0","0.0","2.0"
"","high","2.1","30.2","0.1","0.4","3.0","0.0","0.0","3.7"
"","low","0.1","1.5","0.0","0.0","0.0","0.0","0.1","0.2"
"Seth Roberts","BAL","1.3","16.3","0.1","0.0","0.0","0.0","0.0","2.0"
"","high","1.9","21.4","0.1","0.1","0.1","0.0","0.0","2.3"
"","low","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Jaron Brown","SEA","1.2","16.6","0.1","0.0","0.3","0.0","0.0","2.0"
"","high","2.0","28.0","0.1","0.1","1.0","0.0","0.0","2.8"
"","low","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.6"
"Andy Isabella","ARI","1.0","13.6","0.1","0.2","1.0","0.0","0.0","1.9"
"","high","1.9","25.4","0.2","0.3","2.0","0.0","0.0","3.6"
"","low","0.0","0.0","0.0","0.1","0.3","0.0","0.0","0.7"
"Isaiah Ford","MIA","1.2","15.1","0.1","0.0","0.2","0.0","0.0","1.8"
"","high","1.3","15.3","0.1","0.1","0.4","0.0","0.0","1.9"
"","low","1.2","15.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Josh Doctson","MIN","1.0","13.4","0.1","0.0","0.0","0.0","0.0","1.8"
"","high","1.0","13.4","0.1","0.0","0.0","0.0","0.0","1.8"
"","low","1.0","13.4","0.1","0.0","0.0","0.0","0.0","1.8"
"Marcell Ateman","OAK","1.2","14.6","0.0","0.1","0.9","0.0","0.0","1.8"
"","high","1.7","19.8","0.1","0.4","2.6","0.0","0.0","2.5"
"","low","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Rashard Higgins","CLE","1.1","14.2","0.1","0.0","0.0","0.0","0.0","1.7"
"","high","1.5","19.6","0.1","0.0","0.1","0.0","0.0","2.1"
"","low","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Damiere Byrd","ARI","1.2","14.1","0.0","0.0","0.3","0.0","0.0","1.5"
"","high","2.0","24.0","0.0","0.1","0.6","0.0","0.0","2.4"
"","low","0.1","1.4","0.0","0.0","0.0","0.0","0.0","0.2"
"Donte Moncrief","CAR","0.8","11.7","0.0","0.0","0.1","0.0","0.0","1.4"
"","high","0.9","13.1","0.1","0.0","0.2","0.0","0.0","1.8"
"","low","0.8","10.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Marquise Goodwin","SF","0.7","10.2","0.0","0.1","0.9","0.0","0.0","1.3"
"","high","1.3","17.0","0.1","0.2","2.4","0.0","0.0","1.9"
"","low","0.2","2.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Kalif Raymond","TEN","1.1","13.1","0.0","0.0","0.2","0.0","0.0","1.3"
"","high","1.5","17.2","0.0","0.1","0.4","0.0","0.0","1.2"
"","low","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Trevor Davis","OAK","0.6","7.2","0.0","0.4","3.5","0.0","0.0","1.2"
"","high","1.4","16.7","0.0","0.7","5.8","0.1","0.0","2.4"
"","low","0.0","0.0","0.0","0.2","2.0","0.0","0.1","0.4"
"Ashton Dulin","IND","1.0","12.4","0.0","0.0","0.2","0.0","0.0","1.2"
"","high","1.8","22.8","0.0","0.1","0.4","0.0","0.0","0.3"
"","low","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Johnny Holton","PIT","0.8","10.3","0.0","0.1","0.9","0.0","0.0","1.2"
"","high","1.5","17.1","0.1","0.3","2.3","0.0","0.0","1.5"
"","low","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Austin Carr","NO","0.9","10.1","0.0","0.1","0.8","0.0","0.0","1.2"
"","high","1.5","17.0","0.1","0.3","2.3","0.0","0.0","1.2"
"","low","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Trent Sherfield","ARI","1.0","10.9","0.0","0.1","0.7","0.0","0.0","1.2"
"","high","2.0","20.2","0.0","0.3","2.0","0.0","0.0","1.7"
"","low","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Damion Ratley","CLE","0.7","8.0","0.1","0.0","0.1","0.0","0.0","1.1"
"","high","1.3","14.5","0.1","0.0","0.1","0.0","0.0","2.1"
"","low","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Stanley Morgan Jr.","CIN","0.8","9.9","0.0","0.0","0.1","0.0","0.0","1.1"
"","high","1.4","17.6","0.1","0.0","0.2","0.0","0.0","2.1"
"","low","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.6"
