"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Qadree Ollison","ATL","1.3","4.5","0.0","0.2","1.2","0.0","0.0","0.9"
"","high","1.7","6.6","0.1","0.5","1.9","0.0","0.0","1.4"
"","low","0.7","2.9","0.0","0.1","0.7","0.0","0.0","0.5"
"Ke'Shawn Vaughn","TB","1.4","4.9","0.0","0.4","2.0","0.0","0.0","0.9"
"","high","2.7","8.0","0.1","1.0","3.4","0.0","0.0","1.4"
"","low","0.3","1.4","0.0","0.1","1.0","0.0","0.0","0.4"
"Ty Johnson","DET","0.7","4.1","0.0","0.4","2.5","0.0","0.0","0.8"
"","high","1.4","7.0","0.0","0.6","4.2","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.2","0.9","0.0","0.0","0.2"
"Jason Huntley","PHI","2.1","6.5","0.0","0.8","2.0","0.0","0.0","0.8"
"","high","2.1","6.5","0.0","0.8","2.0","0.0","0.0","0.0"
"","low","2.1","6.5","0.0","0.8","2.0","0.0","0.0","0.0"
"Anthony McFarland Jr.","PIT","1.4","4.8","0.0","0.4","2.3","0.0","0.0","0.8"
"","high","3.6","11.4","0.0","1.3","4.7","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Reggie Gilliam","BUF","0.8","2.7","0.0","0.4","2.5","0.0","0.0","0.8"
"","high","1.1","5.1","0.0","0.6","4.4","0.1","0.0","1.6"
"","low","0.5","1.5","0.0","0.2","0.6","0.0","0.0","0.7"
"Jakob Johnson","NE","0.5","1.4","0.0","0.7","5.4","0.0","0.0","0.8"
"","high","1.4","4.1","0.0","0.9","7.5","0.1","0.0","1.0"
"","low","0.0","0.0","0.0","0.5","1.7","0.0","0.0","0.9"
"Ameer Abdullah","MIN","0.9","3.6","0.0","0.4","2.6","0.0","0.0","0.7"
"","high","1.8","8.4","0.0","0.7","5.2","0.0","0.0","1.2"
"","low","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.1"
"Dare Ogunbowale","JAC","0.7","1.7","0.0","0.5","3.8","0.0","0.0","0.7"
"","high","1.5","4.4","0.0","1.0","8.3","0.1","0.0","1.2"
"","low","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.1"
"Ryquell Armstead","JAC","1.7","4.9","0.0","0.7","2.1","0.0","0.0","0.7"
"","high","1.7","4.9","0.0","0.7","2.1","0.0","0.0","0.0"
"","low","1.7","4.9","0.0","0.7","2.1","0.0","0.0","0.0"
"Alec Ingold","LV","0.7","1.7","0.0","0.4","3.0","0.0","0.0","0.6"
"","high","1.2","3.3","0.0","0.6","7.0","0.1","0.0","1.0"
"","low","0.4","1.0","0.0","0.2","1.3","0.0","0.0","0.5"
"Xavier Jones","LAR","0.5","3.2","0.0","0.2","2.0","0.0","0.0","0.6"
"","high","1.0","5.4","0.0","0.4","3.0","0.0","0.0","1.1"
"","low","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.1"
