"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Zay Jones","LV","1.6","16.5","0.1","0.0","0.1","0.0","0.0","2.4"
"","high","2.6","23.8","0.3","0.1","0.2","0.0","0.0","4.2"
"","low","0.9","10.2","0.0","0.0","0.0","0.0","0.0","1.4"
"KhaDarel Hodge","CLE","1.5","19.6","0.1","0.0","0.1","0.0","0.0","2.4"
"","high","2.0","24.0","0.1","0.1","0.6","0.0","0.0","2.7"
"","low","1.2","15.2","0.0","0.0","0.0","0.0","0.0","2.0"
"Jakeem Grant","MIA","1.5","17.3","0.1","0.2","0.9","0.0","0.0","2.3"
"","high","2.2","24.6","0.1","0.5","2.7","0.1","0.0","3.7"
"","low","0.8","10.0","0.0","0.0","0.0","0.0","0.0","1.8"
"DaeSean Hamilton","DEN","1.8","18.0","0.1","0.0","0.0","0.0","0.0","2.2"
"","high","2.5","21.0","0.1","0.0","0.0","0.0","0.0","2.8"
"","low","1.1","14.5","0.0","0.0","0.0","0.0","0.0","1.9"
"KeeSean Johnson","ARI","1.4","15.6","0.1","0.0","0.1","0.0","0.0","2.2"
"","high","2.1","22.7","0.2","0.1","0.3","0.0","0.0","3.4"
"","low","0.5","6.8","0.1","0.0","0.0","0.0","0.1","1.0"
"Damion Ratley","NYG","1.4","17.7","0.1","0.0","0.1","0.0","0.0","2.1"
"","high","1.8","22.9","0.2","0.1","0.3","0.0","0.0","3.2"
"","low","0.8","9.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Dede Westbrook","JAC","1.3","17.0","0.1","0.0","0.4","0.0","0.0","2.1"
"","high","2.6","34.9","0.2","0.1","1.5","0.0","0.0","4.9"
"","low","0.5","5.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Javon Wims","CHI","1.4","16.4","0.1","0.0","0.1","0.0","0.0","2.1"
"","high","1.8","20.8","0.1","0.1","0.3","0.0","0.0","2.6"
"","low","0.5","8.1","0.0","0.0","0.0","0.0","0.0","1.0"
"JJ Arcega-Whiteside","PHI","1.3","19.6","0.0","0.0","0.2","0.0","0.0","2.1"
"","high","1.7","23.2","0.0","0.1","0.3","0.0","0.0","1.8"
"","low","1.0","16.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Mike Thomas","CIN","1.4","15.2","0.1","0.0","0.2","0.0","0.0","2.1"
"","high","1.8","21.0","0.2","0.1","0.5","0.0","0.0","3.2"
"","low","0.9","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Devin Duvernay","BAL","1.2","15.4","0.1","0.1","0.5","0.0","0.0","2.1"
"","high","2.3","27.2","0.2","0.2","1.1","0.0","0.0","4.0"
"","low","0.6","6.9","0.0","0.0","0.0","0.0","0.1","1.1"
